ACAv	PAG	0.280771
ACAv	PCG	0.048266
ACAv	PF	0.049618
ACAv	PFL	0.001161
ACAv	PH	0.049117
ACAv	PL	0.154371
ACAv	PMd	0.006069
ACAv	PPN	0.013639
ACAv	PRM	0.000223
ACAv	PRNc	0.001305
ACAv	PRNr	0.035038
ACAv	PT	0.003459
ACAv	PVT	0.005615
ACAv	RCH	0.001327
ACAv	RE	0.054371
ACAv	RR	0.022969
ACAv	RSPagl	0.164948
ACAv	SI	0.011913
ACAv	SIM	0.000106
ACAv	SNc	0.012219
ACAv	SNr	0.027646
ACAv	SPA	0.004385
ACAv	SPFm	0.004580
ACAv	SPVC	0.000892
ACAv	SUM	0.016677
ACAv	TU	0.001878
ACAv	VCO	0.000251
ACAv	VM	0.054074
ACAv	VPMpc	0.000376
ACAv	VTA	0.023704
ACB	AAA	0.021439
ACB	ACB	0.074183
ACB	AHN	0.022876
ACB	AIv	0.009049
ACB	AMd	0.000895
ACB	AMv	0.000546
ACB	AN	0.001365
ACB	AON	0.353844
ACB	ARH	0.003401
ACB	BLA	0.009289
ACB	BMA	0.015344
ACB	BST	0.133084
ACB	CEA	0.013511
ACB	CENT	0.001204
ACB	CL	0.000939
ACB	CLI	0.001450
ACB	CM	0.000044
ACB	COAa	0.002755
ACB	CP	0.008705
ACB	CUL	0.000883
ACB	DCO	0.000156
ACB	DMH	0.010787
ACB	DP	0.017200
ACB	DR	0.000220
ACB	EPd	0.010101
ACB	EPv	0.001972
ACB	FL	0.000104
ACB	FS	0.006775
ACB	IA	0.000083
ACB	ICc	0.000058
ACB	ICd	0.000191
ACB	ICe	0.000455
ACB	ILA	0.011188
ACB	LHA	0.233290
ACB	LPO	0.138682
ACB	LSr	0.039356
ACB	LSv	0.010120
ACB	MA	0.016678
ACB	MGd	0.000010
ACB	MGv	0.000108
ACB	MOp	0.002927
ACB	MOs	0.003886
ACB	MPN	0.015633
ACB	MPO	0.057740
ACB	MRN	0.004808
ACB	NOD	0.000062
ACB	ORBm	0.016581
ACB	OT	0.027101
ACB	PA	0.003153
ACB	PAA	0.007313
ACB	PF	0.001380
ACB	PFL	0.002302
ACB	PIR	0.167934
ACB	PL	0.001373
ACB	PO	0.005140
ACB	PRM	0.000935
ACB	PT	0.007786
ACB	PVH	0.006785
ACB	PVT	0.005226
ACB	PVp	0.000684
ACB	PVpo	0.001683
ACB	RE	0.008309
ACB	RH	0.000704
ACB	RN	0.000057
ACB	RR	0.034401
ACB	SBPV	0.001635
ACB	SCs	0.000564
ACB	SI	0.471651
ACB	SIM	0.000206
ACB	SNc	0.089462
ACB	SNr	0.011944
ACB	SPIV	0.000084
ACB	SPVC	0.000494
ACB	STN	0.000586
ACB	SUBv	0.015024
ACB	TR	0.014242
ACB	TT	0.071909
ACB	VAL	0.008643
ACB	VCO	0.000520
ACB	VMH	0.005774
ACB	VPL	0.000612
ACB	VPM	0.003241
ACB	VTA	0.042548
AD	ACAv	1.640534
AD	BST	0.108387
AD	CEA	0.016733
AD	CENT	0.000867
AD	CLI	0.000565
AD	CP	0.078076
AD	DCO	0.000295
AD	ECT	0.104962
AD	ENTl	0.337492
AD	ENTm	0.371686
AD	ICc	0.000025
AD	ICd	0.000637
AD	ICe	0.001447
AD	ILA	0.128178
AD	LA	0.008695
AD	LSv	0.001194
AD	MM	0.057975
AD	NOD	0.001652
AD	PAG	0.017360
AD	PAR	1.241301
AD	PERI	0.045343
AD	PH	0.009862
AD	PMd	0.000736
AD	POST	0.326520
AD	PRE	3.844910
AD	PVH	0.000246
AD	RE	0.003875
AD	RSPv	9.839129
AD	RT	0.116383
AD	SCs	0.142172
AD	SPIV	0.000868
AD	TEa	0.021458
AD	TT	0.024684
AD	VCO	0.000369
AD	VTA	0.007034
AHN	BST	0.037464
AHN	DMH	0.043365
AHN	IPN	0.001587
AHN	LH	0.009579
AHN	LHA	0.257473
AHN	LPO	0.133797
AHN	LSr	0.171420
AHN	LSv	0.014824
AHN	MD	0.004431
AHN	MEA	0.076419
AHN	MEPO	0.029214
AHN	MH	0.003757
AHN	MM	0.028091
AHN	MPO	0.011495
AHN	MS	0.092308
AHN	NDB	0.060212
AHN	PA	0.006872
AHN	PH	0.095511
AHN	PMd	0.042288
AHN	PT	0.005547
AHN	PVT	0.008632
AHN	PVp	0.004858
AHN	SF	0.006159
AHN	SPFm	0.001282
AHN	SUM	0.022875
AHN	TRS	0.004444
AHN	TU	0.107613
AHN	VMH	0.158856
AHN	VTA	0.008331
AId	AAA	0.087369
AId	AId	0.311219
AId	AIp	0.330567
AId	AUDv	0.000729
AId	BLA	0.068290
AId	BMA	0.020900
AId	CEA	0.116271
AId	CLA	0.133107
AId	CLI	0.001834
AId	CM	0.005957
AId	COAa	0.021409
AId	CP	2.976389
AId	DR	0.002695
AId	EPv	0.026028
AId	FL	0.000136
AId	FRP	0.109226
AId	FS	0.053688
AId	GPe	0.216270
AId	GU	0.324225
AId	IA	0.013565
AId	IMD	0.020419
AId	LH	0.000965
AId	LPO	0.010971
AId	LSc	0.009105
AId	MA	0.014159
AId	MD	0.068374
AId	MEA	0.023363
AId	MH	0.000043
AId	MOp	0.351459
AId	MS	0.000216
AId	NDB	0.013294
AId	NLOT	0.020269
AId	PERI	0.151298
AId	PRM	0.000180
AId	SI	0.117986
AId	SIM	0.000228
AId	SNc	0.011987
AId	SPA	0.016575
AId	SPFm	0.006836
AId	SPFp	0.002550
AId	SSp-m	0.007584
AId	SSp-n	0.013076
AId	V	0.000586
AId	VCO	0.000067
AId	VISC	0.196027
AId	VPMpc	0.016708
AIp	AAA	0.016369
AIp	ACAd	0.031323
AIp	ACAv	0.047648
AIp	ACB	0.486595
AIp	AId	0.630973
AIp	AIv	0.117892
AIp	AMB	0.000766
AIp	AMv	0.000609
AIp	AV	0.000052
AIp	BLA	0.230394
AIp	BMA	0.116879
AIp	BST	0.131960
AIp	CEA	0.748409
AIp	CLA	0.030763
AIp	CLI	0.001036
AIp	CM	0.022815
AIp	COAa	0.017272
AIp	CP	1.548397
AIp	CS	0.001742
AIp	DMH	0.011051
AIp	DP	0.015382
AIp	DR	0.000932
AIp	ENTl	0.143234
AIp	ENTm	0.036142
AIp	EPd	0.023894
AIp	EPv	0.070106
AIp	FRP	0.038541
AIp	FS	0.133748
AIp	GPe	0.246469
AIp	GU	0.318007
AIp	IA	0.035485
AIp	ILA	0.032942
AIp	IMD	0.017132
AIp	IP	0.000005
AIp	IRN	0.006255
AIp	LAV	0.000470
AIp	LHA	0.161650
AIp	LPO	0.009761
AIp	LRN	0.001318
AIp	MD	0.050608
AIp	MDRNd	0.000659
AIp	MDRNv	0.002941
AIp	MEA	0.014966
AIp	MEPO	0.000009
AIp	MGm	0.002110
AIp	MM	0.000039
AIp	MOp	0.299219
AIp	MOs	0.253374
AIp	MRN	0.227844
AIp	MV	0.003888
AIp	NI	0.000186
AIp	NPC	0.001125
AIp	NTS	0.023223
AIp	ORBl	0.097268
AIp	ORBm	0.042743
AIp	ORBvl	0.068772
AIp	PAG	0.064007
AIp	PAR	0.023176
AIp	PB	0.066671
AIp	PCG	0.007985
AIp	PERI	0.098458
AIp	PF	0.018592
AIp	PG	0.019610
AIp	PGRNl	0.004548
AIp	PH	0.014026
AIp	PL	0.065991
AIp	PMd	0.000285
AIp	PO	0.040299
AIp	POL	0.004923
AIp	PPN	0.003281
AIp	PRE	0.013740
AIp	PRNc	0.020914
AIp	PRNr	0.025210
AIp	PRP	0.000103
AIp	PT	0.002274
AIp	PVT	0.011042
AIp	RCH	0.002366
AIp	RE	0.022713
AIp	RH	0.009584
AIp	RN	0.005301
AIp	RR	0.014156
AIp	RSPagl	0.001754
AIp	RSPd	0.027088
AIp	RSPv	0.048763
AIp	RT	0.007920
AIp	SI	0.239299
AIp	SMT	0.011983
AIp	SNr	0.035284
AIp	SOC	0.002398
AIp	SPA	0.020718
AIp	SPFm	0.011629
AIp	SPFp	0.026583
AIp	SPIV	0.001237
AIp	SSp-ll	0.011190
AIp	SSp-n	0.065003
AIp	SSp-ul	0.029618
AIp	SSs	0.097373
AIp	STN	0.012949
AIp	SUM	0.002869
AIp	SUT	0.013978
AIp	SUV	0.002894
AIp	TR	0.114134
AIp	TRN	0.000190
AIp	TU	0.005668
AIp	V	0.007697
AIp	VII	0.002848
AIp	VM	0.022130
AIp	VPMpc	0.004320
AIp	VTA	0.024319
AIp	XII	0.001119
AIv	ACAd	0.399456
AIv	ACAv	0.040714
AIv	ACB	4.943051
AIv	AId	1.047709
AIv	AIv	1.771689
AIv	AMv	0.006280
AIv	AN	0.002024
AIv	AOB	0.076368
AIv	AON	0.676820
AIv	ARH	0.000930
AIv	AUDd	0.033079
AIv	AUDp	0.019792
AIv	AUDv	0.059427
AIv	BLA	0.143443
AIv	BST	0.094352
AIv	CA1	0.008265
AIv	CA3	0.001030
AIv	CENT	0.001401
AIv	CLA	0.361411
AIv	CP	2.032649
AIv	CUL	0.002884
AIv	DCO	0.000469
AIv	DG	0.011221
AIv	DMH	0.003918
AIv	DP	0.088664
AIv	ECT	0.555243
AIv	EPd	1.037580
AIv	FL	0.000449
AIv	FRP	0.369075
AIv	FS	0.114600
AIv	ICc	0.000718
AIv	ICd	0.001153
AIv	ICe	0.000498
AIv	ILA	0.569335
AIv	IP	0.000014
AIv	LA	0.091197
AIv	LH	0.021376
AIv	LHA	0.780905
AIv	LPO	0.099760
AIv	LSr	0.182577
AIv	MA	0.110828
AIv	MGd	0.001047
AIv	MGm	0.002846
AIv	MGv	0.005298
AIv	MM	0.001784
AIv	MOs	2.091085
AIv	MPT	0.000067
AIv	NDB	0.108602
AIv	NI	0.000985
AIv	NLL	0.001168
AIv	NOD	0.000357
AIv	NPC	0.006200
AIv	ORBl	1.895405
AIv	ORBm	0.886402
AIv	ORBvl	1.828753
AIv	OT	1.402534
AIv	PAG	0.177095
